ISO 639-3	Population
nxl	1,500 (1995 SIL).
nxo	1,000 (2016). P. Medjo-Mvé.
nxn	No known L1 speakers.
nxi	100.
nxk	2,000 (2004 SIL).
tkf	No known L1 speakers.
oss	451,000 (2010 census). Ethnic population: 529,000 (2010 census). Total users in all countries: 617,570.
osu	200 (2000 M. Crowther). Ethnic population: 300 (2000 census).
ost	400 (2002 SIL).
osi	300,000 (2000 census).
oso	19,000 (2000).
osa	10 (Golla 2007). Ethnic population: 11,000 (Golla 2007).
tkb	43,000 (IMA 1997).
ver	104,000 (2000). Total users in all countries: 110,520.
vep	1,640 (2010 census). Ethnic population: 5,940 (2010 census).
tka	No known L1 speakers. Ethnic population: 1,330 (1999).
tkn	5,100 (2004).
ved	Ethnic population: 2,500 (2002).
vec	3,800,000 (2002). Total users in all countries: 7,852,500.
ven	2,910,000 in South Africa, all users. L1 users: 1,210,000 (2013 UNSD), increasing. L2 users: 1,700,000 (Webb 2002). Total users in all countries: 3,001,400 (as L1: 1,301,400; as L2: 1,700,000).
veo	No known L1 speakers.
vel	
vem	10,000 (1993). Total users in all countries: 11,000.
lra	11,300 (2000). Total users in all countries: 23,300.
lrc	1,500,000 (2001). Ethnic population: 1,700,000 (2001).
lrg	23 (2006 census).
lri	155,000 (2009 census).
lrk	20,000 (1998).
lrm	152,500 (2009 census).
lrl	112,000 (2014 J. Leclerc), increasing. Ethnic population: 100,000.
lro	40,000 (Kuku 2012).
lrn	220 (2011 SIL).
lrr	2,500 (2011 SIL), decreasing.
lrt	20,000 (2007).
lrv	680 (Lynch and Crowley 2001).
lrz	2 (2008 A. François).
tkv	1,000 (2012 SIL).
tkt	106,000 (2006). Population for all Tharu varieties: 1,530,000 (2011 census).
tkr	11,700 (2011 UNSD). Total users in all countries: 22,300.
tks	374,000 (2014 J. Leclerc).
tkp	1,800 (2012 A. François).
zrs	3,300 (1996 SIL).
zrp	No known L1 speakers.
zrg	60,000 (1998 N. Lima).
tkx	100 (2000 SIL).
zro	5 (2007 UNESCO). About 20 elderly Záparo still have some variable degree of knowledge of the language (Crevels 2007). Ethnic population: 200 (2007 UNESCO).
zrn	2,240 (1993 census).
ydk	770 (2003 SIL).
ydg	6,150 (2000).
ydd	634,000 (1991). Total users in all countries: 1,546,280.
yde	180 (2000 census). Ethnic population: 180 (2000 census).
yda	Few speakers reported in 2012.
ipk	A macrolanguage. Population total all languages: 5,580
ipi	26,000 (2002 SIL), increasing. 13,000 monolinguals.
ipo	600 (2016 SIL).
gzn	2,900 (1982 D. Teljeur).
gzi	7,030 (2000).
gza	2,600 (2007 A. Krell). Total users in all countries: 3,000.
ssx	3,130 (Wurm and Hattori 1981).
fpe	76,000, all users. L1 users: 6,000 (2011 S. Smith), increasing. L2 users: 70,000 (2011 S. Smith). Very few monolinguals. Ethnic population: 6,000.
sst	50,100 (Wurm and Hattori 1981).
ssl	30,000 (2003 GILLBT). 219,000 Sisaala (2010 census).
sso	300 (Wurm 2000). In 1990, 4,780 speakers were reported and language use was vigorous. The 1998 tsunami almost completely annihilated the population. Number of surviving speakers unlikely to exceed a few hundred (Wurm 2007).
ssn	12,600 (2009 census), increasing.
ssh	21,600 (2014). Total users in all countries: 31,600.
ttz	4,790 (2000).
tty	2,000 (2015 C. Wanarahardja).
tts	15,000,000 (1983 SIL). At least 1,000,000 in Bangkok. Kalerng has a few thousand speakers (1990 A. Diller).
ttr	101,000 (2000).
ttq	450,000 (1998). Total users in all countries: 801,000.
ttp	1,100 (Mead and Mead 1991).
ttw	600 (Wurm and Hattori 1981).
ttv	5,100 (2000 census).
ttu	600 (1963 SIL).
ttt	22,800 (2011 UNSD). Total users in all countries: 32,810.
ttk	No known L1 speakers. Ethnic population: 3,550 (Crevels 2007).
ttj	846,000 (2014 census), increasing. Census based on tribal affiliation. 35,400 Tuku (2014 census).
tti	100 (Wurm 2007).
tth	30,900 (1995 census). 21,500 monolinguals. Total users in all countries: 49,900.
tto	15,800 (2000).
ttn	120 (1975 SIL).
ttm	210 (2011 census). Ethnic population: 1,100 (Golla 2007).
ttl	1,120 (2010 census).
ttc	4,900 (2002). Total users in all countries: 4,971.
ttb	10,000 (1997 R. Boyd).
ttg	16,600 (2006 SIL).
ttf	1,000 (Dimmendaal and Voeltz 2007).
tte	2,400 (2007 SIL), increasing. 720 monolinguals.
ttd	7,000 (2000 census).
jig	52 (2006 census).
jid	6,000 (1999 R. Blench). 4,000 Bu and 2,000 Ninkada.
djr	2,760 (2006 census).
dju	1,640 (2003 SIL).
jic	350 (1997). Ethnic population: 19,600 (1990 Educación Comunitaria para la Salud-Honduras). 19,000 in Yoro Department.
djw	No known L1 speakers (Wurm 2003).
jia	1,500 (Tourneux 2004). 40,000 all Kotoko languages (Tourneux 2004).
jio	52,300 (Wurm et al 1987).
jil	650 (2000 census).
jim	3,500 (1982 SIL).
jih	4,100 (2004).
jii	20,000 (1998 J. Leclerc).
dja	No known L1 speakers. Date of the last speaker’s death unknown.
djc	34,000 (1993 census).
djb	45 (2006 census).
dje	3,280,000 (2015). Total users in all countries: 3,370,100.
djd	120 (2006 census).
djf	No known L1 speakers.
dji	210 (2006 census). 170 Djinang, 43 Wulaki (2006 census).
djk	21,700 (2013). 1,550 monolinguals. Total users in all countries: 39,700.
djj	340, all users. 240 (2006 census). 100 (1991).
djm	130,000 (1998 J. Durieux).
djo	37,000 (2007 SIL).
djn	43 (2006 census).
bly	1,500 (2002 SIL).
blx	5,000 (1998 SIL), increasing. Ethnic population: 30,000. All Ayta in Zambales, Pampanga, and Tarlac regions.
blz	31,000, all users. 30,000 (2000 SIL), increasing. 1,000 (2015 R. Busenitz). 1,500 monolinguals (2015 R. Busenitz).
blt	699,000 (2002 SIL). Total users in all countries: 762,700.
blw	21,300 (2000), decreasing. No monolinguals.
blv	2,630 (2000).
blq	2,000 (2000 census).
blp	1,770 (1999 SIL).
bls	3,200 (Himmelmann 2001).
blr	42,000 (2000 census). Total users in all countries: 55,200.
blm	65,000 (2009 SIL).
blo	33,600 (2011 SIL). Total users in all countries: 48,900.
bln	135,000 (2000 census). Speakers of all Bikol languages: 4,580,000 (2000 census).
bli	100,000 (2000).
blh	22,500 (2015).
blk	560,000 (1983 census). Total users in all countries: 560,740.
blj	30,000 (Kawi et al 2002).
ble	354,000 (2016). Total users in all countries: 380,000.
bld	23,000 (Sneddon and Usup 1986). Atinggola 16,000, Bolango 7,000.
hch	47,600 (2011 UNSD).
blf	96,000 (2000 census).
bla	3,250 (2011 census), decreasing. Few monolinguals. Ethnic population: 15,000. Total users in all countries: 3,350.
blc	17 (FPCC 2014). 510 semi-speakers (FPCC 2014). Ethnic population: 1,660 (FPCC 2014).
blb	8,740 (1999 SIL).
onj	150 (Wurm 2000).
onk	300 (2000 M. Crowther). Ethnic population: 300.
oni	500 (Wurm 2000).
onn	1,200, all users. 1,000 (2010 SIL). 200. 500 monolinguals.
ono	40 (Golla 2007). Total users in all countries: 52.
onb	600,000 (2000 Liang Min). 350,000 Lincheng, 170,000 Qiongshan. 100,000 monolinguals.
ona	No known L1 speakers (Crevels 2007). The ethnic group disintegrated by early 20th century; last speakers died in the 1970s (Crevels 2007).
ong	13,700 (2003 SIL).
one	180 (2011 census). Ethnic population: 3,000 (Golla 2007). On Thames River near London, Ontario. Total users in all countries: 192.
onx	No known L1 speakers. Ethnic population: No ethnic community.
onr	2,000 (2000 M. Crowther). Ethnic population: 2,000.
ons	11,000, all users. 10,000 (2011 SIL), increasing. Population increase due to Bakesu Revival Church activity. 1,000 (Voegelin and Voegelin 1977).
onp	1,000 (2005).
ont	3,000 (1996 SIL).
onu	750 (1999), increasing. 50 in Bush Unua.
uky	No known L1 speakers. Estimated 40 speakers in 1975, but the date of last speaker’s death unknown.
ukw	150,000 (1973 SIL).
uku	14,100 (2000).
fmu	400,000 (2007).
uks	No known L1 users. Ferreira Brito 1984 reported 5 deaf and less than 500 hearing, but unconfirmed reports say no users remain. Deaf users were monolingual.
ukr	32,600,000 (2003 UNSD). Ethnic population: 37,500,000 (2001 census). Total users in all countries: 34,710,100.
fmp	140,000 (2005 SIL). Based on the population of the subdivision where the Fe’fe’ people are present; this is the best estimate available since the 1982 census (2014 C. Hamm).
ukp	21,500 (2013 SIL).
lnu	32,000 (1973 SIL).
ukl	54,000 (2008 WFD). Other population figures refer to audiological deafness: 43,000 registered Ukrainian nationals with hearing impairments (2015 Ukrainian Society of the Deaf); 223,000 (2016 IMB).
ukk	4,500 (2016 E. Hall).
ukh	2,000 (1996 SIL).
ukg	170 (2003 SIL).
rmx	200 (2013 SIL). Ethnic population: 440 (2009 census).
uka	600 (1986 SIL).
lnm	420 (2003 SIL).
rmc	123,000 (2013 UNSD). Total users in all countries: 157,010.
rzh	62,900 (2004 census).
rma	740 (2009 UNSD). Ethnic population: 900 (2000 C. Grinevald).
lni	600 (2007 SIL).
rmg	
sak	8,000 (Idiata 2007).
saj	7,500 (Voorhoeve and Visser 1987). 3,500 in Tala’i, 4,000 in Pa’disua.
sah	450,000 (2010 census). Ethnic population: 478,000 (2010 census).
sao	250 (Wurm 2000).
san	208,100 in India, all users. 14,100 (2001 census). 194,000. Total users in all countries: 211,100 (as L1: 14,100; as L2: 197,000).
sam	No known L1 speakers. Ethnic population: 620 (1999 H. Mutzafi). Total users in all countries: none known.
sac	250 (Golla 2007). 200 Mesquakie in Iowa, more than 50 Sac and Fox in central Oklahoma, a few Nemaha Sauks on the Kansas-Nebraska border (Golla 2007). Ethnic population: 760 Fox.
sab	18,000 (2012 SIL).
saa	1,340 (2000).
rme	90,000 (Hancock 1990b). Total users in all countries: 99,200.
sag	4,950,000 in Central African Republic, all users. L1 users: 350,000 (1988 census). L2 users: 4,600,000. Total users in all countries: 5,049,000 (as L1: 449,000; as L2: 4,600,000).
saf	5,000 (2013 UNSD), increasing.
sae	7 (Moore 2006). Ethnic population: 40 (Crevels 2007).
sad	60,000 (Brenzinger 2013).
saz	185,000 (2001 census). Each listed district has communities of at least 5,000.
say	300,000 (2013 SIL). 7,000 Sigidi (1995 CAPRO).
sax	2,500 (Lynch and Crowley 2001).
rmk	630 (2003 SIL).
sas	2,100,000 (1989). Ethnic population: 3,170,000 (2011 census).
sar	No known L1 speakers.
saq	237,000 (2009 census), increasing. Ilchamus 27,300, Njemps 5,300 (2009 census).
saw	3,500 (1993 R. Doriot).
sav	200,000 (2012), increasing.
sau	4,800 (1989 SIL).
sat	5,940,000 (2001 census). Total users in all countries: 6,220,280 (as L1: 6,219,300; as L2: 980).
zoc	10,000 (1990 census).
zoh	4,500 (1990 census). 15 monolinguals.
rmn	101,000 (2013 UNSD). 100,000 Arlija. Total users in all countries: 763,670 (as L1: 563,670; as L2: 200,000).
zom	61,000 (2012 P. Tungdim). Total users in all countries: 81,900.
zoo	100 (1990 census). Ethnic population: 2,480 (1990 census).
zoq	12 (2016 J. Rangel).
zor	2,100 (1990 census). 20 monolinguals (1990 census). Ethnic population: 10,400 (1990 census).
zos	20,000 (1990 census).
lnb	200 (2002 J. Leclerc).
axx	760 (2009 census).
axg	No known L1 speakers. Ethnic population: 150 (1994 ISA).
axe	No known L1 speakers.
axk	15,000 (1996). Total users in all countries: 30,000.
axl	No known L1 speakers.
xml	58,700 (2013 census).
xmm	2,350,000, all users. 850,000 (2001). 1,500,000.
xmo	100 (2000).
xmh	20 (2005 AUSTLANG).
xmj	500 (Tourneux 2004). 40,000 all Kotoko languages (Tourneux 2004).
xmd	6,000 (2001 SIL).
xmf	344,000 (2015 J. Leclerc). Total users in all countries: 345,530.
xmg	20,000 (1993 SIL).
xma	20,000 (1998 J. Leclerc).
xmb	1,490 (2000).
xmc	300,000 (2010 J. Leclerc).
xmx	600 (Remijsen 2001).
xmy	No known L1 speakers.
xmz	14,000 (1988 D. Mead).
xmt	1,250 (Remijsen 2001).
xmu	No known L1 speakers.
xmv	156,000 (2011 SIL).
xmw	1,615,000 (2011 SIL).
xmp	No known L1 speakers.
xmq	No known L1 speakers.
xms	63,400. 63,400 sign language users, 155,000 total deaf (2008 WFD). 165,000 (2014 IMB).
vkp	750 (1998 J. Clements). 250 families (2002).
vkt	210,000 (Wurm and Hattori 1981). 100,000 in Tenggarong, 60,000 in Ancalong, 50,000 in Northern Kutai.
vku	10 (2005 AUSTLANG).
vki	
vkj	1,000 (Bender 1983b).
vkk	40,000 (2000 census).
vkl	22,000 (Mead 1999), increasing.
vkm	No known L1 speakers.
vko	1,500 (Mead 1999).
vka	No known L1 speakers. The last speaker died in 1991. Some people still know some words (Wurm 2007).
kjb	77,700 (1998). Total users in all countries: 86,040.
kjc	125,000 (1990 SIL). 50,000 Kajang, 10,000 Tiro.
kja	300 (Wurm 2000).
kjf	Total users in all countries: 50,000.
kjg	708,000 (2015 census). Total users in all countries: 797,500.
kjd	9,700 (Wurm 1975). 3,800 in Coast, 1,000 in Daru, 4,500 in Island Kiwai, 400 in Doumori. Several sources estimate current population now in excess of 20,000 (2011 SIL).
kje	20,000 (1995 SIL).
kjj	1,000 (Salminen 2007).
kjk	150,000 (1991 SIL).
kjh	42,600 (2010 census). Spoken by about 10% of the population of Khakasia (Salminen 2007). 1,500 monolinguals (2002 census). Ethnic population: 73,000 (2010 census). Total users in all countries: 42,610.
kji	3,360 (2003 SIL).
kjn	2 (2005 AUSTLANG), decreasing. Ethnic population: 300 (1991 B. Sommer).
kjo	6,330 (1998 survey).
kjl	24,500 (2003 SIL), increasing. 27,100 all Kham languages in Nepal (2011 census).
kjm	13,800 (2009 census).
kjr	2,180 (1993 R. Doriot).
kjs	45,000 (2000 census).
kjp	1,000,000 (1998). Total users in all countries: 1,050,000.
kjq	3,990 (Ichihashi-Nakayama et al 2007). Includes 1,930 Acoma, 2,060 Laguna (Ichihashi-Nakayama et al 2007); 2010 census lists 13,100 as Keres. Ethnic population: 10,700 (Ichihashi-Nakayama et al 2007). Includes 3,860 Acoma, 6,870 Laguna.
kjt	6,000 (Dawkins and Phillips 2009).
kju	45 (1994 L. Hinton), decreasing.
kjz	20,000 (2011 SIL).
kjx	1,000 (Wurm and Hattori 1981).
kjy	10,000 (2000 census).
zpy	2,200 (1990 census). 25 monolinguals.
zpx	1,500 (1990 census). 20 monolinguals.
zpz	4,630 (2000 INALI).
zpq	1,000 (1991 SIL).
zpp	900 (1990 census). 30 monolinguals.
zps	500 (1992 SIL).
zpr	2,500 (1990 census).
zpu	3,500 (2005). 2,000 are in Yalálag.
zpt	3,380 (2005 census). 340 monolinguals.
zpw	770 (1990 census). 4 monolinguals.
zpv	2,720 (2005 INEGI).
zpi	2,000 (2000 census).
zph	260 (1990 census). Ethnic population: 1,010 (1990 census).
zpk	53 (2000 INALI). Ethnic population: 900 (1990 census).
zpj	4,000 (1990 census). 180 monolinguals.
zpm	7,000 (1991 SIL).
zpl	6,500 (1990 census). 3,250 monolinguals.
zpo	10,000 (2000 SIL). 2,000 monolinguals.
zpn	2,240 (1990 census). 180 monolinguals.
zpa	5,000 (1977 SIL).
zpc	12,000 (2007 SIL).
zpb	250 (2000 INALI). 4 monolinguals (1990). All over 50.
zpe	8,000 (1990 census). 220 monolinguals.
zpd	6,000 (1992 SIL).
zpg	4,720 (2000 INEGI).
zpf	14,800 (2000).
yzg	600 (Li 1997).
yzk	13,000 (Pelkey 2011), decreasing. Ethnic population: 17,000.
vun	300,000 (1992 UBS), increasing.
vum	5,000 (Idiata 2007).
ivb	1,240 (2007 NCIP). No monolinguals. Ethnic population: 1,400 (2008 SIL).
ivv	35,000 (1998 SIL), increasing. 3,450 Itbayatan (1996 census).
vut	20,000 (1997 L. Lode). 300 in Banyo (1995 B. Connell). Total users in all countries: 21,000.
wpc	2,500 (2002 J. Miller).
gdq	50,000 (2011). Total users in all countries: 177,800.
gdr	3,500 (1999 J. Shim).
gds	20 (2011 SIL).
gdt	No known L1 speakers.
gdu	5,000 (1993).
gdx	3,000,000 (2001 census).
gda	500,000 (2016).
gdb	15,000 (2002 M. Kurian). 4,000–7,000 in Koraput District, Pottangi block (1995).
gdc	No known L1 speakers.
gdd	6,950 (2003 SIL).
gde	68,000 (1987). Total users in all countries: 88,000.
gdf	55,900 (2000).
gdg	6,000 (2002 SIL). Very few monolinguals.
gdh	A few elderly speakers (Wurm 2007).
gdi	9,000 (1988 census).
gdj	1 (Wurm 2007). Possibly has no remaining speakers.
gdk	2,500 (1997 SIL).
gdl	56,900, all users. L1 users: 49,900 (2010 UNSD). L2 users: 7,000. Ethnic population: 90,000 (2005 SIL). 41,100 Gidole, 7,470 Kusumitta (2007 census).
gdm	750 (2000). Damtar village had its own dialect called Laabe with 3 speakers left in 1977.
gdn	2,400 (1987 SIL).
gdo	130 (2010 census). Ethnic population: 3,000 (2014 NCRP).
fvr	744,000 (2004 SIL). Ethnic population: 900,000 (2014 SIL). Total users in all countries: 745,800.
tvy	No known L1 speakers.
tvu	40,000 (1997 J. Mbongue). Ethnic population: 100,000 (1997 J. Mbongue).
tvt	25,000 (2001). 12,500 monolinguals.
tvw	900 (2009 S. Shore). Ethnic population: 4,000.
tvs	21,000 (2009 census), increasing.
tvm	1,050 (2007 SIL).
tvl	10,000 (2015 S. Ager). Total users in all countries: 12,510.
tvo	46,000, all users. 26,000 (Wurm and Hattori 1981). 20,000.
tvn	400,000 (2000 D. Bradley).
tvk	3,700 (Lynch and Crowley 2001).
tve	No known L1 speakers.
eze	5,000 (1973 SIL).
tva	1,960 (1999 SIL).
eza	590,000 (2012 SIL).
jgk	70,000 (2011 SIL).
jgo	63,000 (1999 SIL), increasing.
dds	45,300 (1998 J. Durieux).
jgb	No known L1 speakers.
ddw	1,270 (2007 SIL).
jge	59,800 (2005 J. Leclerc). Total users in all countries: 62,600.
ddj	360 (2006 census).
ddi	2,180 (2000). 440 monolinguals.
ddo	12,500 (2012 UNSD). Ethnic population: 20,000 (2014 NCRP).
ddn	160,000 (2014 J. Leclerc). Total users in all countries: 162,050.
dda	10 (2005 AUSTLANG).
ddg	37,000 (2010 census).
dde	30,000 (2007 census).
ddd	5,000 (2013 SIL).
acb	Ethnic population: 300 (2006 J. Leclerc).
aca	250 (2000 M. Lozano), decreasing. Ethnic population: 280 (Crevels 2007).
acf	158,000 (2001). Total users in all countries: 359,450.
ace	3,500,000 (2000 census). Total users in all countries: 3,500,032.
acd	10,400 (2003), increasing.
ack	No known L1 speakers.
aci	No known L1 speakers.
ach	1,500,000 (2014 census), increasing. Census based on tribal affiliation. 34,200 Dhopaluo (2014 census). Total users in all countries: 1,527,000.
acn	27,700 (1990 census). Ethnic population: 34,000 (2000 census). Total users in all countries: 62,700.
acm	13,400,000 (2014 J. Leclerc). Total users in all countries: 15,419,000.
acl	No known L1 speakers.
acs	No known L1 speakers.
acr	85,600 (2008 N. England). 5,000 monolinguals (2015 C. Barrera). Ethnic population: 130,000 (2015 C. Barrera).
acq	6,760,000 (1996). Total users in all countries: 7,510,400.
acp	5,000 (1993).
acw	14,100,000 (2011 J. Leclerc). Total users in all countries: 14,131,700.
acv	10 (Golla 2007). Ethnic population: 1,000.
acu	6,200 (2012 UNSD). Ethnic population: 5,000 (2000). Total users in all countries: 10,620.
act	
acz	20,000 (2006 R. Norton). 9,830 speakers in home area (2006 R. Norton).
acy	9,760 (2013 UNSD). Ethnic population: 6,000. 140 Maronites in Kormatiki, 80 to 100 in Limassol, the rest in the Maronite community in Nicosia.
acx	1,850,000 (2015). Total users in all countries: 2,314,000.
bjg	33,400 (2016).
bjf	20 (2004 H. Mutzafi). In 1951, it was spoken among the 8 Jewish families of Bijil, a village in Iraqi Kurdistan. (1998 H. Mutzafi). Speaker who died in 1998 was over 80. Last Bijil dialect speaker died in 1998.
bje	43,000 (Wang and Mao 1995). Biaomin (Dongshan) has a much larger speaker population (approximately 35,700) than Jiaogong (Shikou; approximately 10,900).
bjc	460 (2000).
bjb	No known L1 speakers.
bja	226,000 (1985 census).
bjo	100,000 (1996). Total users in all countries: 102,000.
bjn	3,500,000 (2000 census), increasing. Total users in all countries: 3,505,000.
bjm	59,000 (2014 J. Leclerc).
bjl	910 (2000 census).
bjk	2,120 (1985).
